,tweet,existence,existence.confidence
210,Climate change could raise cost of U.S. allergies (Reuters) [link],1,0.5851
211,Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],1,0.596
213,well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],1,1.0
214,Military leads fight against climate change [link],1,0.8037
215,"Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link]",1,0.8201
216,10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],1,0.5685
217,Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link],1,0.6099
218,Fighting poverty and global warming in Africa [link],1,1.0
219,RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link],1,0.5973
221,Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],1,1.0
222,"UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link]",1,1.0
223,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,1.0
224,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,1.0
225,"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey [link]",1,1.0
226,Military leads fight against climate change: Pew [link],1,1.0
227,Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link],1,0.7808
228,For Earth Day: Resources on coping with climate change: [link],1,1.0
229,Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],1,1.0
230,Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],1,1.0
232,"RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link]",1,0.8046
233,Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one,1,1.0
234,Topography of mountains could complicate rates of global warming [link],1,1.0
235,"RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link]",1,0.6141
236,"Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change",1,0.5849
238,RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link],1,0.5362
239,"No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link]",1,0.6195
240,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],1,0.8168
241,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],1,0.8033
242,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],1,0.8133
243,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,1.0
244,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,0.7937
245,Ethiopia: Climate Change Increasing Poverty And Vulnerability [link],1,1.0
246,Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link],1,1.0
247,"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]",1,0.8272
248,"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]",1,0.8148
249,RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],1,1.0
250,RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link],1,0.5833
251,"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",1,0.8026
252,"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",1,0.8125
253,Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1,1.0
254,Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1,1.0
255,Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1,1.0
256,Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],1,1.0
257,Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],1,0.6167
258,"Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link]",1,0.7732
259,Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link],1,1.0
260,"""Either Capitalism dies or Mother Earth does"" Evo Morales Claims in the People's World Conference on Climate Change [link]",1,0.8205
261,RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link],1,1.0
262,Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link],1,1.0
263,Buying carbon offsets may ease eco-guilt but not global warming: [link],1,0.6772
264,"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" [link]",1,1.0
266,Migratory Birds' New Climate Change Strategy: Stay Home [link],1,0.7887
267,On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link],1,1.0
268,Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link],1,0.7789
270,Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link],1,0.605
271,Seasonal Allergies Getting Worse From Climate Change [link],1,1.0
272,"Just because I believe in global warming, peeps thinks I should believe in god instead. Why??",1,1.0
273,Seasonal Allergies Getting Worse From Climate Change [link],1,0.6652
274,Seasonal Allergies Getting Worse From Climate Change [link],1,1.0
275,@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!,1,1.0
276,"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",1,1.0
277,"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]",1,0.7923
278,RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],1,0.6131
279,"Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link]",1,0.5843
280,"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco [link]",1,0.7916
281,[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link],1,1.0
282,"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",1,0.6037
283,STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],1,0.6063
284,"Global warming, melting ice caps could trigger more volcanic eruptions: [link]",1,1.0
285,@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*,1,1.0
286,An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link],1,1.0
287,Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],1,0.8113
288,"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""",1,1.0
289,RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],1,1.0
290,"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link]",1,0.8036
292,"Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link]",1,1.0
293,RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link],1,1.0
294,RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],1,0.7973
295,Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],1,1.0
296,Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],1,0.8140000000000001
297,Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??,1,0.7834
298,Climate Change-ing your Allergies [link],1,0.6015
299,RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],1,1.0
301,RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves,1,0.5904
302,RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.,1,0.8233
303,"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro",1,0.8105
304,"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green",1,1.0
305,"Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy",1,0.7788
306,RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.,1,0.8451
307,RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],1,1.0
308,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",1,1.0
309,Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... [link],1,0.794
310,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",1,1.0
312,"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes [link]",1,0.7738
313,•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) [link],1,1.0
314,Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],1,0.8176
315,"RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: [link]",1,0.7959
316,"Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. [link]",1,0.617
317,Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun,1,0.8121
318,I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring [link],1,1.0
319,RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  [link],1,1.0
320,Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. [link],1,1.0
321,Cochabamba Summit Offers New Approach to Combating Climate Change [link],1,0.7951
322,Climate Change is Making You Sneeze: [link],1,1.0
323,ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... [link],1,0.5934
324,"Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. [link]",1,1.0
325,The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link],1,1.0
326,The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link],1,1.0
327,"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... [link]",1,0.8164
328,Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link],1,0.8205
329,Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... [link],1,1.0
330,Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link],1,1.0
332,How do we solve this global warming thing? [link],1,0.7997
333,Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link],1,0.8731
334,Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link],1,0.7796
335,Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link],1,0.6111
336,How do we solve this global warming thing? [link],1,1.0
337,How do we solve this global warming thing? [link],1,0.8182
338,Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],1,0.8033
339,Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.,1,0.7862
340,Is nationalizing the energy industry necessary to fight global warming?  [link],1,0.7995
341,Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link],1,1.0
342,Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link],1,1.0
343,Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link],1,1.0
344,reading from @time Allergies Worse Than Ever? Blame Global Warming [link],1,1.0
346,"2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.",1,1.0
347,Missing' heat may affect future climate change [link],1,0.5899
348,Climate Change - Building a Green Economy [link],1,1.0
349,Climate change threatening Glacier National Park and Montana's economy - Examiner.com [link],1,0.7979999999999999
350,New York: Climate change could raise cost of allergies [link],1,0.5979
351,Ecotone: #Climate change from a #population perspective [link],1,0.581
352,Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link],1,0.8767
